D:/work/_TclProject/OurTest/ExampleTestSuite/SuiteSetup.tcl

D:/work/_TclProject/OurTest/ExampleTestSuite/DhcpFunction/SuiteSetup.tcl

D:/work/_TclProject/OurTest/ExampleTestSuite/DhcpFunction/dhcp_test_suite_1.test.tcl
test_case_1,test_case_1 of dhcp_test_suite_1.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"
test_case_2,test_case_2 of dhcp_test_suite_2.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"
test_case_3,test_case_3 of dhcp_test_suite_3.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"

D:/work/_TclProject/OurTest/ExampleTestSuite/DhcpFunction/dhcp_test_suite_2.test.tcl
test_case_1,test_case_1 of dhcp_test_suite_2.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"
test_case_2,test_case_2 of dhcp_test_suite_2.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"
test_case_3,test_case_3 of dhcp_test_suite_3.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"

D:/work/_TclProject/OurTest/ExampleTestSuite/DhcpFunction/dhcp_test_suite_3.test.tcl
test_case_1,test_case_1 of dhcp_test_suite_3.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"
test_case_2,test_case_2 of dhcp_test_suite_3.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"
test_case_3,test_case_3 of dhcp_test_suite_3.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"

D:/work/_TclProject/OurTest/ExampleTestSuite/DhcpFunction/SuiteTeardown.tcl

D:/work/_TclProject/OurTest/ExampleTestSuite/PppoeFuntion/SuiteSetup.tcl

D:/work/_TclProject/OurTest/ExampleTestSuite/PppoeFuntion/pppoe_test_suite_1.test.tcl
test_case_1,test_case_1 of pppoe_test_suite_1.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"
test_case_2,test_case_2 of pppoe_test_suite_2.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"
test_case_3,test_case_3 of pppoe_test_suite_3.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"

D:/work/_TclProject/OurTest/ExampleTestSuite/PppoeFuntion/pppoe_test_suite_2.test.tcl
test_case_1,test_case_1 of pppoe_test_suite_2.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"
test_case_2,test_case_2 of pppoe_test_suite_2.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"
test_case_3,test_case_3 of pppoe_test_suite_3.,pass,"pass Step_1: checking 1 eq 1 when Marking test result step 1;
pass Step_2: checking 1 ne 2 when Marking test result step 2;
pass Step_3: checking results string rmatch .*stri.* when Marking test result step 3;
pass Step_4: checking results string match *stri* when Marking test result step 4;"

D:/work/_TclProject/OurTest/ExampleTestSuite/PppoeFuntion/SuiteTeardown.tcl

D:/work/_TclProject/OurTest/ExampleTestSuite/SuiteTeardown.tcl

